ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Tanvi Swaminathan,26,1,1,1,2
2,2,Ishani Sarma,54,1,1,1,2
3,3,Inaya Kaur,23,1,1,1,2
4,4,Karan Sarin,37,1,1,1,1
5,5,Manya Bhardwaj,27,1,1,1,2
6,6,Ishanvi Buch,25,1,1,1,1
7,7,Faras Parikh,60,1,1,1,1
8,8,Chaman Nayar,23,1,1,1,2
9,9,Indira Pathak,35,1,1,1,1
10,10,Umang Khanna,56,1,1,1,1
11,11,Ronith Gaba,24,1,1,1,1
12,12,Wazir Dey,57,1,1,1,1
13,13,Indali Sant,34,1,1,1,2
14,14,Panini Prabhakar,29,1,1,1,1
15,15,Ikshita Bava,37,1,1,1,1
16,16,Umang Pandya,28,1,1,1,2
17,17,David Patla,31,1,1,1,1
18,18,Bhavna Singhal,21,1,1,1,1
19,19,Chanakya Borde,20,1,1,1,2
20,20,Maya Taneja,35,1,1,1,2
21,21,Jasmit Tara,21,1,1,1,1
22,22,Elijah Ganguly,36,1,1,1,1
23,23,Udant Aggarwal,28,1,1,1,2
24,24,Omaja Malhotra,53,1,1,1,1
25,25,Arunima Karan,24,1,1,1,2
26,26,Qasim Lall,48,1,1,1,2
27,27,Maanas Dhar,52,1,1,1,1
28,28,Tripti Dhillon,48,1,1,1,1
29,29,Vrinda Bera,59,1,1,1,1
30,30,Amruta Chandran,53,1,1,1,2
31,31,Yash Kant,49,1,1,1,1
32,32,Orinder Madan,23,1,1,1,2
33,33,Guneet Rattan,45,1,1,1,2
34,34,Triya Chauhan,26,1,1,1,2
35,35,Zaitra Pathak,48,1,1,1,1
36,36,Wriddhish Bassi,25,1,1,1,2
37,37,Rachita Sinha,58,1,1,1,1
38,38,Chakradhar Krish,24,1,1,1,1
39,39,Jeremiah Master,37,1,1,1,2
40,40,Darpan Iyengar,44,1,1,1,2
41,41,Yashvi Nagar,49,1,1,1,2
42,42,Nilima Kala,26,1,1,1,1
43,43,Ekalinga Bassi,55,1,1,1,1
44,44,Ishani Pillai,47,1,1,1,2
45,45,Dalbir Cheema,34,1,1,1,2
46,46,Samar Loyal,41,1,1,1,2
47,47,Januja Pau,45,1,1,1,2
48,48,Madhav Walia,26,1,1,1,2
49,49,Ayaan Wadhwa,47,1,1,1,2
50,50,Fitan Dass,36,1,1,1,2
51,51,Laban Barman,29,1,1,1,2
52,52,Lekha Jaggi,24,1,1,1,1
53,53,Yatin Dasgupta,25,1,1,1,1
54,54,Falguni Walla,47,1,1,1,1
55,55,Anusha Maharaj,43,1,1,1,1
56,56,Lekha Balakrishnan,55,1,1,1,1
57,57,Ishani Patel,57,1,1,1,2
58,58,Nidhi Samra,27,1,1,1,2
59,59,Ikshita Samra,42,1,1,1,2
60,60,Unni Barad,23,1,1,1,2
61,61,Eshana Char,58,1,1,1,2
62,62,Wridesh Bhavsar,42,1,1,1,1
63,63,Warda Gandhi,56,1,1,1,1
64,64,Oscar Gade,29,1,1,1,2
65,65,Mahika Vyas,34,1,1,1,1
66,66,Oscar Divan,42,1,1,1,2
67,67,Ganga Murthy,27,1,1,1,2
68,68,Damyanti Uppal,56,1,1,1,1
69,69,Megha Date,47,1,1,1,1
70,70,Kabir Tara,58,1,1,1,2
71,71,Arjun Bedi,21,1,1,1,1
72,72,Ranbir Sarraf,37,1,1,1,2
73,73,Girish Bhagat,41,1,1,1,2
74,74,Yachana Chand,20,1,1,1,1
75,75,Samesh Dube,29,1,1,1,2
76,76,Charita Chatterjee,24,1,1,1,1
77,77,Tara Krishnan,60,1,1,1,1
78,78,Matthew Soni,25,1,1,1,1
79,79,Warinder Borra,44,1,1,1,2
80,80,Zinal Kaul,49,1,1,1,2
81,81,Bimala Nair,30,1,1,1,2
82,82,Vidhi Lata,39,1,1,1,2
83,83,Tanish Pillay,56,1,1,1,1
84,84,Hritik Sanghvi,23,1,1,1,1
85,85,Warda Kalla,30,1,1,1,1
86,86,Anika Chopra,25,1,1,1,2
87,87,Panini Sundaram,48,1,1,1,2
88,88,Aishani Nath,51,1,1,1,2
89,89,Ishanvi Chahal,46,1,1,1,2
90,90,Advik Sarin,33,1,1,1,1
91,91,Dev Chad,42,1,1,1,2
92,92,Krish Jha,27,1,1,1,2
93,93,Faraj Ramesh,57,1,1,1,2
94,94,Hema Ramachandran,53,1,1,1,2
95,95,Baghyawati Chadha,22,1,1,1,1
96,96,Nilima Pal,45,1,1,1,1
97,97,Oviya Bains,20,1,1,1,1
98,98,Damyanti Rege,39,1,1,1,1
99,99,Edhitha Upadhyay,28,1,1,1,2
100,100,Udant Purohit,38,1,1,1,2
101,101,Anita Rana,27,1,1,1,1
102,102,Saanvi Sanghvi,51,1,1,1,2
103,103,Vinaya Kuruvilla,31,1,1,1,1
104,104,Nisha Walia,44,1,1,1,1
105,105,Bhavna Borra,52,1,1,1,2
106,106,Anamika Virk,24,1,1,1,2
107,107,Harish Nanda,22,1,1,1,2
108,108,Hemani Khalsa,21,1,1,1,2
109,109,Kabir Mall,24,1,1,1,2
110,110,Advaith Wagle,56,1,1,1,2
111,111,Reyansh Dube,56,1,1,1,2
112,112,Aarna Patel,60,1,1,1,2
113,113,Ekansh Prashad,38,1,1,1,1
114,114,Saksham Karpe,45,1,1,1,1
115,115,Nicholas Prakash,40,1,1,1,1
116,116,Nidra Sethi,59,1,1,1,2
117,117,Amaira Mall,43,1,1,1,1
118,118,Jacob Sankaran,47,1,1,1,1
119,119,Teerth Arora,35,1,1,1,2
120,120,Darika Choudhary,57,1,1,1,2
121,121,Lohit Narayan,53,1,1,1,1
122,122,Om Shankar,45,1,1,1,2
123,123,Harinakshi Mani,41,1,1,1,1
124,124,Samuel Chahal,41,1,1,1,1
125,125,Bachittar Brahmbhatt,24,1,1,1,1
126,126,Brinda Kapoor,53,1,1,1,1
127,127,Avi Parikh,42,1,1,1,2
128,128,Ayush Garg,29,1,1,1,1
129,129,Chatura Gole,26,1,1,1,1
130,130,Benjamin Kala,36,1,1,1,1
131,131,Balhaar Vaidya,31,1,1,1,1
132,132,Neel Kaul,24,1,1,1,1
133,133,Sneha Tara,60,1,1,1,2
134,134,Andrew Kapoor,49,1,1,1,2
135,135,Ishita Sachar,56,1,1,1,2
136,136,Jagrati Sibal,60,1,1,1,2
137,137,Xalak Parsa,29,1,1,1,2
138,138,Aarna Hari,24,1,1,1,2
139,139,Joshua Merchant,48,1,1,1,2
140,140,Oviya Tank,37,1,1,1,1
141,141,Faqid Dugar,42,1,1,1,1
