VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Warda Palla,35,1,0
2,2,Chanakya Kohli,53,2,0
3,3,Aditya Jaggi,53,2,0
4,4,Dalaja Trivedi,24,1,0
5,5,Zarna Kapoor,23,1,0
6,6,Tanvi Vig,56,1,0
7,7,Aarini Thakur,30,2,0
8,8,Zansi Sharma,53,2,0
9,9,Akshay Mander,27,1,0
10,10,Kritika Jayaraman,57,2,0
11,11,Damini Bumb,25,2,0
12,12,Upadhriti Prashad,23,2,0
13,13,Manya Bala,28,2,0
14,14,Faras Khosla,49,1,0
15,15,Veda Bansal,55,2,0
16,16,Robert Ratta,39,1,0
17,17,Aarini Kata,45,2,0
18,18,Niharika Bansal,20,1,0
19,19,Neel Kala,57,1,0
20,20,Praneel Deol,22,2,0
21,21,Mitali Murthy,42,1,0
22,22,Aishani Gour,54,1,0
23,23,Meera Nagarajan,24,2,0
24,24,Akshay Chakraborty,22,2,0
25,25,Atharv Dhillon,46,1,0
26,26,Arin Dara,28,2,0
27,27,Warhi Prabhakar,43,2,0
28,28,Lipika Dey,48,2,0
29,29,Robert Apte,44,1,0
30,30,Vaishnavi Chokshi,54,1,0
31,31,Udarsh Khatri,42,1,0
32,32,Januja Atwal,31,2,0
33,33,Netra Dhillon,53,1,0
34,34,Pranav Varma,34,1,0
35,35,Oliver Bhargava,21,2,0
36,36,Baljiwan Verma,49,2,0
37,37,Ayushman Bajwa,54,2,0
38,38,Teerth Saxena,34,1,0
39,39,Hiral Bassi,49,2,0
40,40,Zehaan Soni,29,2,0
41,41,Bhavika Kumer,32,1,0
42,42,Jhalak Karan,22,2,0
43,43,Radhika Verma,59,1,0
44,44,Wriddhish Contractor,35,1,0
45,45,Ekaraj Vyas,24,1,0
46,46,Dalaja Kuruvilla,58,1,0
47,47,Devika Rajan,48,1,0
48,48,Amol Chander,35,1,0
49,49,Devika Joshi,45,2,0
50,50,Tristan Ratta,34,1,0
51,51,Vrishti Gupta,23,1,0
52,52,Rajata Vaidya,52,2,0
53,53,Vrinda Sharaf,34,2,0
54,54,Yashvi Verma,56,2,0
55,55,Ubika Raman,35,2,0
56,56,Megha Sarkar,29,1,0
57,57,William Pillai,46,2,0
58,58,Finn Pal,37,1,0
59,59,Vrishti Choudhury,55,1,0
60,60,Oni Dalal,60,2,0
61,61,Hitesh Goda,55,2,0
62,62,Urvi Pal,23,2,0
63,63,Jagrati Bajaj,44,2,0
64,64,Alka Pau,46,2,0
65,65,Dev Chaudhary,29,2,0
66,66,Lakshmi Tiwari,44,1,0
67,67,Yashvi Sachar,54,2,0
68,68,Guneet Anne,35,1,0
69,69,Upasna Manne,39,1,0
70,70,Damini Panchal,49,1,0
71,71,Ekani Oak,55,2,0
72,72,Hemang Chaudhuri,46,1,0
73,73,Christopher Gupta,44,1,0
74,74,Upasna Anne,36,1,0
75,75,Lohit Misra,41,1,0
76,76,Gauri Mandal,48,2,0
77,77,Eta Bali,25,1,0
78,78,Nirja Boase,23,2,0
79,79,Vrishti Mutti,44,1,0
80,80,Priya Loyal,24,1,0
81,81,Warhi Patel,57,1,0
82,82,Samarth Sunder,50,1,0
83,83,Yuvraj Contractor,41,2,0
84,84,Varenya Kibe,20,1,0
85,85,Ati Raja,32,1,0
86,86,Yutika Madan,50,1,0
87,87,Harini Kuruvilla,58,1,0
88,88,Fitan Pradhan,45,1,0
89,89,Urmi Goyal,55,2,0
90,90,Lekha Cheema,38,2,0
91,91,Patrick Hans,49,2,0
92,92,Hiral Bhagat,39,2,0
93,93,Sara Mital,43,2,0
94,94,Vanya Chauhan,49,1,0
95,95,Chandran Sarin,50,2,0
96,96,Oliver Golla,33,2,0
97,97,Ansh Char,40,2,0
98,98,Onkar Jayaraman,22,1,0
99,99,Pranav Hans,29,1,0
100,100,Suhani Aurora,36,2,0
101,101,Aishani Dass,38,1,0
102,102,Thomas Dyal,32,2,0
103,103,Arin Rattan,34,2,0
104,104,Neha Raja,56,1,0
105,105,Yamini Sha,51,2,0
106,106,Aarush Balan,36,2,0
107,107,Faqid Ramakrishnan,51,2,0
108,108,Harish Nori,30,2,0
109,109,Sathvik Sahni,30,1,0
110,110,Warhi Mall,54,2,0
111,111,Udarsh Brahmbhatt,31,1,0
112,112,Tara Biswas,53,1,0
113,113,Faqid Lata,24,1,0
114,114,Bhavna Kashyap,20,2,0
115,115,Daksh Nagar,28,1,0
116,116,Jyoti Chaudhry,24,1,0
117,117,Karan Konda,20,1,0
118,118,Oviya Nigam,52,2,0
119,119,Eshana Deshpande,43,1,0
120,120,Yug Wagle,59,2,0
121,121,Zayan Shroff,51,1,0
122,122,Hamsini Bhalla,20,2,0
123,123,Ekaja Sanghvi,20,1,0
124,124,Oeshi Varma,53,2,0
125,125,Sneha Buch,54,2,0
126,126,Dayita Malhotra,21,2,0
127,127,Zaitra Kari,31,1,0
128,128,Tristan Dixit,26,1,0
129,129,Charles Nazareth,35,1,0
130,130,Teerth Kothari,59,2,0
131,131,Chavvi Muni,42,2,0
132,132,Netra Mane,45,1,0
133,133,Chakradev Jayaraman,43,2,0
134,134,Aahana Sarraf,49,1,0
135,135,Megha Salvi,34,2,0
136,136,Dominic Munshi,25,1,0
137,137,Wyatt Hegde,25,2,0
138,138,Reva Narain,44,2,0
139,139,Garima Walia,55,2,0
140,140,Sanaya Dara,23,1,0
141,141,Amara Ghose,30,1,0
142,142,David Chacko,51,2,0
143,143,Zarna Bahl,41,1,0
144,144,Robert Kata,53,1,0
145,145,Kevin Desai,34,1,0
146,146,Maanas Naidu,56,2,0
147,147,Indali Tandon,37,1,0
148,148,Omkaar Sha,24,2,0
149,149,Vincent Chahal,54,1,0
150,150,Ishita Karan,31,2,0
151,151,Umang Lata,21,1,0
152,152,Tanay Brahmbhatt,57,1,0
153,153,Ansh Khanna,45,1,0
154,154,Gopal Bhandari,39,1,0
155,155,Chaman Sinha,56,1,0
156,156,Indira Lall,56,2,0
157,157,Mekhala Krish,54,2,0
158,158,Zayan Shan,44,1,0
159,159,Ekiya Parsa,25,2,0
160,160,Saanvi Manda,23,1,0
161,161,Mason Bassi,47,1,0
162,162,Wakeeta Bajaj,24,2,0
163,163,Vasudha Borra,58,2,0
164,164,Chaitanya Gara,40,1,0
165,165,Yauvani Mall,60,2,0
166,166,Imaran Sandhu,48,2,0
167,167,Netra Saini,34,2,0
168,168,Aarnav Pall,55,2,0
169,169,Ekbal Tella,47,1,0
170,170,Ishaan Thaker,57,2,0
171,171,Zayyan Karnik,25,2,0
172,172,Nakul Varty,35,1,0
173,173,Vansha Setty,25,2,0
174,174,Falak Edwin,29,2,0
175,175,Nihal Chand,60,1,0
176,176,Viraj Mahal,44,2,0
177,177,Shivani Thakkar,43,1,0
178,178,Chaitanya Pathak,25,1,0
179,179,Gopal Bhatia,39,2,0
180,180,Akshay Sagar,43,2,0
181,181,Agastya Doshi,26,1,0
182,182,Atharv Seshadri,25,1,0
183,183,Krish Kota,47,2,0
184,184,Yochana Dutt,55,2,0
185,185,Ekantika Golla,26,1,0
186,186,Ikshita Kar,25,2,0
187,187,Barkha Hora,55,1,0
188,188,Krishna Pradhan,58,2,0
189,189,Arya Babu,44,1,0
190,190,Rachana Comar,38,2,0
191,191,Kashish Bhargava,44,1,0
192,192,Bhavika Anand,55,1,0
193,193,Arya Chokshi,56,1,0
194,194,Ekaraj Palla,44,1,0
195,195,Adya Bedi,28,2,0
196,196,Kashish Badami,39,2,0
197,197,Nathaniel Kulkarni,51,1,0
198,198,Farhan Chada,24,1,0
199,199,Balhaar Dyal,47,2,0
200,200,Yatan Kadakia,46,2,0
201,201,Mekhala Garde,50,1,0
202,202,Ekalinga Arora,43,2,0
203,203,Jagrati Nori,35,2,0
204,204,Bhavini Prakash,58,1,0
205,205,Suhani Sarna,49,1,0
206,206,Ekantika Deshmukh,28,2,0
207,207,Kevin Bhalla,20,2,0
208,208,Aarav Bajaj,41,2,0
209,209,Jagrati Suresh,41,2,0
210,210,Michael Bhattacharyya,41,2,0
211,211,Akshay Ram,58,1,0
212,212,Yash Soman,39,2,0
213,213,Yamini Majumdar,58,1,0
214,214,Jeremiah Chaudhry,50,2,0
215,215,Nisha Kannan,31,2,0
216,216,Onkar Devi,40,2,0
217,217,Aditya Grover,60,2,0
218,218,Jagvi Goyal,56,1,0
219,219,Vasatika Magar,40,2,0
220,220,Ekanta Vaidya,37,2,0
221,221,Oliver Sharaf,43,1,0
222,222,Lipika Yadav,56,1,0
223,223,Triveni Shanker,57,1,0
224,224,Parth Sama,55,1,0
225,225,Adweta Bhardwaj,49,1,0
226,226,Wakeeta Viswanathan,48,2,0
227,227,Qasim Dubey,24,2,0
228,228,Samuel Nagarajan,51,1,0
229,229,Zarna Nanda,60,2,0
230,230,Oni Patla,35,2,0
231,231,Jalsa Dhar,29,2,0
232,232,Falguni Mandal,44,1,0
233,233,Ekapad Ghose,48,2,0
234,234,Jagat Chowdhury,57,2,0
235,235,Hitesh Uppal,54,2,0
236,236,Dalaja Kala,54,1,0
237,237,Harinakshi Ghose,43,1,0
238,238,Varsha Sur,26,1,0
239,239,Frado Om,42,1,0
240,240,Kashish Hora,59,1,0
241,241,Krishna Bose,56,2,0
242,242,Yashoda Deep,41,2,0
243,243,Arya Hans,26,1,0
244,244,Tanay Johal,26,2,0
245,245,Raksha Bali,34,1,0
246,246,Kiaan Dube,48,2,0
247,247,Henry Chandra,45,2,0
248,248,Amruta Sarna,57,1,0
249,249,Harsh Doshi,42,1,0
250,250,Jairaj Bedi,50,1,0
251,251,Ekanta Barman,38,2,0
252,252,Balhaar Narayanan,25,1,0
253,253,Sai Chand,29,2,0
254,254,Gautam Lall,39,2,0
255,255,Anmol Prakash,49,1,0
256,256,Veer Bansal,53,2,0
257,257,Ladli Panchal,42,2,0
258,258,Aditya Thaker,26,2,0
259,259,Janani Bandi,48,2,0
260,260,Matthew Mistry,24,2,0
261,261,Gayathri Saini,22,1,0
262,262,Abeer Pingle,21,2,0
263,263,Aarush Maharaj,26,1,0
264,264,Viraj Parikh,35,1,0
265,265,Harrison Bahri,55,1,0
266,266,Gautami Raju,41,2,0
267,267,Gaurangi Keer,49,1,0
268,268,Neelima Ravi,45,1,0
269,269,Chakradhar Kohli,31,2,0
270,270,Frederick Sant,45,1,0
271,271,Upkaar Dora,59,1,0
272,272,David Bhatnagar,48,2,0
273,273,Mohammed Palla,44,1,0
274,274,Laban Wali,33,1,0
275,275,Rudra Basu,37,1,0
276,276,Manya Bir,56,1,0
277,277,Xavier Yohannan,54,1,0
278,278,David Bhasin,43,2,0
279,279,Jeevika Narain,32,2,0
280,280,Lakshit Shah,27,2,0
281,281,Isaiah Kant,51,2,0
282,282,Yochana Sengupta,58,2,0
283,283,Reva Solanki,59,2,0
284,284,Zansi Aggarwal,57,1,0
285,285,Victor Rattan,42,2,0
286,286,Samaksh Kamdar,49,1,0
287,287,Vedika Ray,39,1,0
288,288,Utkarsh Kapadia,28,2,0
289,289,Dakshesh Manda,27,1,0
290,290,Chaitanya Pradhan,39,1,0
291,291,Jhalak Seth,31,2,0
292,292,Sanya Chada,29,2,0
293,293,Qabil Vasa,46,1,0
294,294,Saksham Sharaf,56,2,0
295,295,Fiyaz Kamdar,47,1,0
296,296,Pallavi Boase,51,1,0
297,297,Odika Tak,55,1,0
298,298,Niharika Bhatti,51,2,0
299,299,Kala Nagy,28,1,0
300,300,Ekantika Vasa,40,2,0
301,301,Gayathri Gera,59,1,0
302,302,Mohini Chatterjee,42,1,0
303,303,Devika Sekhon,51,1,0
304,304,Abeer Sarraf,32,2,0
305,305,David Oommen,55,2,0
306,306,Anusha Bath,46,2,0
307,307,Zansi Ramesh,46,2,0
308,308,Simon More,51,1,0
309,309,Meghana Aggarwal,25,1,0
310,310,Yamini Garde,34,2,0
311,311,Sarthak Ramanathan,22,2,0
312,312,Ganga Bhandari,34,2,0
313,313,Bhavika Bala,30,2,0
314,314,Rudra Hegde,56,2,0
315,315,Neelima Arora,55,1,0
316,316,Anmol Swamy,56,1,0
317,317,Girish Doshi,37,2,0
318,318,Aadhya Sawhney,54,1,0
319,319,Upkaar Kohli,48,1,0
320,320,Falan Chada,47,1,0
321,321,Vansha Gola,35,2,0
322,322,Manthan Hayer,22,2,0
323,323,Ekapad Sidhu,36,2,0
324,324,Nihal Dhar,25,2,0
325,325,Ishwar Karan,27,1,0
326,326,Robert Sastry,33,2,0
327,327,Bishakha Singh,59,2,0
328,328,Abeer Srinivasan,30,1,0
329,329,Harshil Kala,33,1,0
330,330,Aahana Shenoy,23,2,0
331,331,Max Khare,54,2,0
332,332,Sarthak Toor,58,1,0
333,333,Michael Bahri,40,2,0
334,334,Ekapad Balan,38,2,0
335,335,Yashodhara Barad,52,1,0
336,336,Zaid Ramanathan,28,2,0
337,337,Alexander Acharya,23,2,0
338,338,Krishna Bhatti,28,1,0
339,339,Siya Rastogi,35,1,0
340,340,Jagdish Rattan,40,1,0
341,341,Zehaan Dass,45,2,0
