AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Udarsh Ganesh,24,1,A1
2,2,Orinder Halder,47,2,A1
3,3,Imaran Sekhon,40,1,A1
4,4,Samuel Vyas,47,2,A1
5,5,Ekaja Bhagat,23,1,A1
6,6,Zaid Modi,37,1,A1
7,7,Xalak Narayan,27,1,A1
8,8,Ubika Mann,40,2,A1
9,9,Oscar Sengupta,37,2,A1
10,10,Anya Kar,29,1,A1
11,11,Krish Dua,46,1,A1
12,12,Farhan Chadha,26,1,A1
13,13,Udarsh Ganesh,32,1,A1
14,14,Avni Bala,41,1,A1
15,15,Ati Lad,34,1,A1
16,16,Isaiah Bhat,30,2,A1
17,17,Hredhaan Sekhon,23,2,A1
18,18,Qadim Mallick,21,1,A1
19,19,Faras Roy,45,2,A1
20,20,Imaran Kumer,42,2,A1
21,21,Pavani Panchal,29,2,A1
22,22,Tristan Samra,20,1,A1
23,23,Deepa Chand,49,2,A1
24,24,Jairaj Solanki,48,1,A1
25,25,Zehaan Mani,26,2,A1
26,26,Champak Ramachandran,33,1,A1
27,27,Matthew Maharaj,40,2,A1
28,28,Reyansh Gopal,49,2,A1
29,29,Ekta Shukla,50,2,A1
30,30,Advika Barad,29,1,A1
31,31,Frado Sarin,32,1,A1
32,32,Jasmit Yogi,35,1,A1
33,33,Pranav Wable,48,2,A1
34,34,Dalbir Singhal,32,1,A1
35,35,Tripti Pillay,33,2,A1
36,36,Bishakha Biswas,21,1,A1
37,37,Baghyawati Prabhakar,42,2,A1
38,38,Noah Sani,29,1,A1
39,39,Xalak Narayan,40,1,A1
40,40,Vasatika Saran,40,1,A1
41,41,Urmi Srivastava,30,2,A1
42,42,Ranveer Raju,29,2,A1
43,43,Aachal Shetty,32,1,A1
44,44,Maanas Rama,18,2,A1
45,45,Devansh Zachariah,30,1,A1
46,46,Gunbir Char,29,2,A1
47,47,Tristan Samra,27,1,A1
48,48,Anay Deol,41,1,A1
49,49,Saanvi Varma,43,1,A1
50,50,Priya Soman,38,1,A1
51,51,Unni Johal,45,2,A1
52,52,Arya Baria,29,2,A1
53,53,Irya Gera,29,2,A1
54,54,Vasana Sant,36,1,A1
55,55,Ayaan Varughese,43,1,A1
56,56,Xalak Narayan,32,1,A1
57,57,Mekhala Basu,27,2,A1
58,58,Caleb Tailor,33,2,A1
59,59,Yashawini Sachdev,28,1,A1
60,60,Warda Chatterjee,39,2,A1
61,61,Pavani Panchal,33,1,A1
62,62,Rohan Mittal,24,1,A1
63,63,Orinder Halder,44,1,A1
64,64,Inaya Mital,49,2,A1
65,65,Anmol Chandra,42,1,A1
66,66,Anika Jha,32,1,A1
67,67,Anmol Kannan,20,2,A1
68,68,Ekiya Keer,24,1,A1
69,69,Ekbal Bose,42,1,A1
70,70,Yashodhara Virk,23,2,A1
71,71,Vamakshi Agate,48,1,A1
72,72,Nimrat Vaidya,28,2,A1
73,73,Farhan Chadha,39,1,A1
74,74,Vansha Krishnan,44,2,A1
75,75,Ishanvi Agrawal,37,1,A1
76,76,Avni Bala,49,1,A1
77,77,Ayaan Varughese,45,1,A1
78,78,Tripti Pillay,48,1,A1
79,79,Pavani Panchal,28,2,A1
80,80,Vidhi Brar,48,1,A1
81,81,Siddharth Saran,43,2,A1
82,82,Alka Baria,34,1,A1
83,83,Utkarsh Savant,42,1,A1
84,84,Geetika Dutta,42,2,A1
85,85,William Ramaswamy,34,2,A1
86,86,Samaksh More,32,2,A1
87,87,Manya Khanna,27,1,A1
88,88,Samaksh Konda,44,1,A1
89,89,Chavvi Chacko,42,2,A1
90,90,Arjun Guha,48,1,A1
91,91,Advay Sarma,23,2,A1
92,92,Tejas Krishnamurthy,20,1,A1
93,93,Gabriel Sarna,46,1,A1
94,94,Balhaar Kapadia,28,1,A1
95,95,Vasana Kibe,26,1,A1
96,96,Abeer Chahal,45,1,A1
97,97,Aarnav Bumb,27,2,A1
98,98,Omisha Ben,22,1,A1
99,99,Agastya Sarkar,43,2,A1
100,100,Bhavini Palla,47,1,A1
101,101,Anika Pradhan,44,1,A1
102,102,Januja Chandra,27,1,A1
103,103,Tristan Parmar,24,2,A1
104,104,Avni Sawhney,40,2,A1
105,105,Theodore Narula,49,2,A1
106,106,George Krish,43,1,A1
107,107,Harinakshi Bhagat,43,1,A1
108,108,Anya Tella,39,1,A1
109,109,Maanas Rama,35,2,A1
110,110,Chaman De,37,2,A1
111,111,Rohan Dyal,24,1,A1
112,112,Panini Dar,46,2,A1
113,113,Theodore Gola,23,1,A1
114,114,Bhavini Wason,44,2,A1
115,115,Urishilla Zacharia,41,1,A1
116,116,Watika Bath,28,1,A1
117,117,Ishita Sanghvi,50,2,A1
118,118,Champak Ramachandran,19,1,A1
119,119,Tristan Narula,21,1,A1
120,120,Aachal Shetty,41,1,A1
121,121,Qadim Mallick,50,2,A1
122,122,Mugdha Som,25,1,A1
123,123,Onveer Narain,46,1,A1
124,124,Chatresh Toor,48,2,A1
125,125,Abdul Krishnamurthy,34,1,A1
126,126,Zehaan Mani,21,1,A1
127,127,Lakshmi Wason,31,1,A1
128,128,Ekani Gulati,31,2,A1
129,129,Umang Palan,50,1,A1
130,130,Devansh Varma,18,2,A1
131,131,Varsha Thaker,29,1,A1
132,132,Upkaar Prashad,37,2,A1
133,133,Fitan Shukla,42,2,A1
134,134,Lavanya Menon,31,2,A1
135,135,Farhan Iyer,43,1,A1
136,136,Tripti Pillay,41,2,A1
137,137,Farhan Chadha,48,1,A1
138,138,Neha Badami,35,2,A1
139,139,Yashasvi Iyer,34,2,A1
140,140,Champak Ramachandran,33,1,A1
141,141,Wyatt Prabhu,43,2,A1
142,142,Yagnesh Vaidya,19,2,A1
143,143,Bakhshi Anne,34,2,A1
144,144,Reyansh Krishna,20,1,A1
145,145,Idika Malhotra,32,2,A1
146,146,Xalak Ganesh,40,2,A1
147,147,Urvashi Parekh,29,2,A1
148,148,Ayush Majumdar,34,1,A1
149,149,Vyanjana Malhotra,39,1,A1
150,150,Jack Subramanian,37,2,A1
151,151,Falguni Merchant,39,2,A1
152,152,Onveer Bal,47,1,A1
153,153,Sanya Rana,22,2,A1
154,154,Xiti Palla,50,1,A1
155,155,Urmi Raja,42,2,A1
156,156,Advaith Koshy,27,1,A1
157,157,Luke Dugal,39,2,A1
158,158,Ekantika Subramaniam,47,1,A1
159,159,Raksha Gole,29,1,A1
160,160,Oliver Iyer,29,2,A1
161,161,Zilmil Mitter,18,2,A1
162,162,Gabriel Sarna,28,1,A1
163,163,Eiravati Barman,23,1,A1
164,164,Vihaan Bhardwaj,45,2,A1
165,165,Oeshi Agate,48,2,A1
166,166,Hemani Sheth,30,2,A1
167,167,Hiral Master,38,1,A1
168,168,Ayaan Varughese,33,1,A1
169,169,Siddharth Shanker,40,2,A1
170,170,Zehaan Mani,50,2,A1
171,171,William Ramaswamy,37,2,A1
172,172,Aadhya Viswanathan,39,2,A1
173,173,Zayyan Lad,26,2,A1
174,174,Faqid Sangha,49,2,A1
175,175,Ati Dhingra,28,2,A1
176,176,Jack Subramanian,26,1,A1
177,177,Pahal Doshi,50,1,A1
178,178,Charles Raj,20,2,A1
179,179,Turvi Mani,34,1,A1
180,180,Hemang Char,21,1,A1
181,181,Ati Chandran,19,1,A1
182,182,Atharv Barman,44,2,A1
183,183,Chakradev Banik,34,2,A1
184,184,Prisha Lad,31,1,A1
185,185,Janya Mistry,24,2,A1
186,186,Adweta Pal,26,2,A1
187,187,Azaan Ahuja,24,1,A1
188,188,Farhan Chadha,49,1,A1
189,189,Osha Dutt,34,1,A1
190,190,Saanvi Solanki,44,2,A1
191,191,Jack Bedi,49,1,A1
192,192,Falak Seth,48,2,A1
193,193,Ayaan Varughese,23,1,A1
194,194,Ishita Dutt,49,1,A1
195,195,Andrew Halder,50,1,A1
196,196,Tanveer Sarin,24,2,A1
197,197,Priya Thaker,47,2,A1
198,198,Aachal Shetty,24,1,A1
199,199,Thomas Konda,36,2,A1
200,200,Andrew Dhar,38,2,A1
201,201,Lekha Mishra,24,1,A1
202,202,Ayush Majumdar,28,2,A1
203,203,Chaitanya Bassi,46,2,A1
204,204,Gopal Thaman,23,2,A1
205,205,Isha Dutta,29,1,A1
206,206,Bishakha Khalsa,47,2,A1
207,207,Raagini Dewan,48,2,A1
208,208,Leena Murthy,28,1,A1
209,209,Saumya Chaudhary,21,1,A1
210,210,Irya Gera,48,2,A1
211,211,Zehaan Mani,40,1,A1
212,212,Manan Dhillon,26,2,A1
213,213,Charles Saran,25,2,A1
214,214,Yashica Tella,22,2,A1
215,215,Udyati Barad,18,1,A1
216,216,Ayaan Wason,39,1,A1
217,217,Arjun Ravi,33,2,A1
218,218,Laksh Morar,42,1,A1
219,219,Eta Mangal,21,1,A1
220,220,Indira Kota,28,2,A1
