EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
1,1,1,1,1,KG871308,Rayaan Krish,1983-05-12,1,1,0,2018-04-10
2,1,2,1,1,KG603231,Rehaan Kuruvilla,1977-05-21,1,1,0,2024-12-13
3,1,3,1,1,KG548675,Chameli Sahni,1987-01-30,1,1,0,2025-12-29
4,2,4,1,1,KG310230,Yatan Lall,1980-08-19,1,1,0,2021-09-25
5,2,5,1,1,KG766019,Zehaan Upadhyay,1980-07-25,1,1,0,2024-04-13
6,2,6,1,1,KG420725,Alexander Gulati,1981-09-13,1,1,0,2010-02-24
7,3,7,1,1,KG63784,Wyatt Bhatti,1975-07-22,1,1,0,2024-01-30
8,3,8,1,1,KG583900,Kiaan Batra,1993-03-29,1,1,0,2002-08-05
9,3,9,1,1,KG197652,Jack Ramachandran,1990-12-24,1,1,0,2017-08-27
10,4,10,1,1,KG493307,Kabir Ratta,1976-08-22,1,1,0,2018-07-15
11,4,11,1,1,KG82165,David Badami,1978-09-30,1,1,0,2011-08-22
12,4,12,1,1,KG568829,Rushil Memon,1972-11-13,1,1,0,2025-07-11
13,5,13,1,1,KG475367,Kamya Bandi,1973-01-21,1,1,0,2010-09-28
14,5,14,1,1,KG798232,Ridhi Iyengar,1977-02-08,1,1,0,2007-03-27
15,5,15,1,1,KG900123,Lohit Jani,1974-08-27,1,1,0,2010-04-04
16,6,16,1,1,KG881876,Chanchal Pandya,1973-04-02,1,1,0,2015-03-24
17,6,17,1,1,KG930528,Naksh Chaudhry,1984-08-30,1,1,0,2005-05-29
18,6,18,1,1,KG691884,Ekiya Memon,1988-12-06,1,1,0,2011-11-19
19,7,19,1,1,KG676081,Aarna Rajan,1995-01-12,1,1,0,2003-05-12
20,7,20,1,1,KG743152,Rehaan Om,1975-02-14,1,1,0,2019-10-10
21,7,21,1,1,KG176909,Jacob Misra,1983-06-16,1,1,0,2012-09-09
22,8,22,1,1,KG846340,Eiravati Dara,1972-10-11,1,1,0,2011-04-16
23,8,23,1,1,KG656849,Omya Kurian,1994-04-06,1,1,0,2017-11-08
24,8,24,1,1,KG946068,Benjamin Dhaliwal,1994-04-25,1,1,0,2000-07-18
25,9,25,1,1,KG931237,Yagnesh Sandhu,1993-10-07,1,1,0,2015-02-04
26,9,26,1,1,KG527977,Ikbal Raja,1976-10-03,1,1,0,2008-11-20
27,9,27,1,1,KG188400,Tripti Toor,1974-09-03,1,1,0,2004-11-07
28,10,28,1,1,KG701613,Devika Comar,1985-08-16,1,1,0,2002-10-23
29,10,29,1,1,KG481454,Omkaar Sodhi,1988-02-19,1,1,0,2011-11-23
30,10,30,1,1,KG339027,Pushti Kar,1981-05-21,1,1,0,2007-12-15
